date,n1,n2,n3,n4,n5
2026-05-01,1,5,83,7,27
2026-05-02,1,8,9,48,89
2026-05-03,1,10,17,2,3
2026-05-04,1,2,3,4,5
2026-05-05,1,2,3,4,73
2026-05-06,1,2,3,4,5
2026-05-07,1,10,17,2,3
2026-05-08,1,2,10,17,3
2026-05-09,1,2,3,36,63
2026-05-10,1,2,10,17,3
2026-05-11,1,2,8,19,68
2026-05-12,1,2,3,4,5
2026-05-13,1,2,3,8,59
2026-05-14,1,2,77,24,3
2026-05-15,1,2,3,4,5
2026-05-16,1,38,5,21,52
2026-05-17,1,2,30,33,3
2026-05-18,1,2,3,4,5
2026-05-19,1,2,5,25,27
2026-05-20,1,2,3,4,5
2026-05-21,1,2,3,4,5
2026-05-22,1,78,90,8,16
2026-05-23,1,7,77,2,45
2026-05-24,1,2,3,4,89
2026-05-25,1,2,3,66,77
2026-05-26,1,2,3,4,5
2026-05-27,1,13,34,87,11
2026-05-28,2,1,3,4,5
2026-05-29,1,2,3,52,22
2026-05-30,1,2,3,66,4
2026-05-31,1,2,19,56,69
2026-06-01,1,5,13,6,21
2026-06-02,1,2,3,4,89
2026-06-03,1,2,3,4,5
2026-06-04,1,11,36,63,52
2026-06-05,1,16,38,19,84
2026-06-06,1,88,64,33,38
2026-06-07,1,2,3,4,5
2026-06-08,1,7,19,9,2
2026-06-09,1,2,3,67,9
2026-06-10,97,73,18,21,24
2026-06-11,97,73,18,21,24
